t,x1,x2,x3,lambda
0.0,1.0,0.0,1.0,1.0
0.1,5.5844072789132895,0.1,1.505870079064996e-8,6.0315526720003874e-15
0.2,5.6220800318291975,0.2,1.5058700546860326e-8,1.2063105344000775e-14
0.3,5.661271264929316,0.3,1.5058700327126427e-8,1.8094658016007625e-14
0.4,5.70192561124573,0.4,1.5058700131444875e-8,2.412621068800155e-14
0.5,5.743990352079601,0.5,1.505869995981906e-8,3.015776336001486e-14
0.6,5.787415261374544,0.6,1.505869981224898e-8,3.6189316032028174e-14
0.7,5.832152460928356,0.7,1.505869968874141e-8,4.222086870402856e-14
0.8,5.878156285575242,0.8,1.5058699589292967e-8,4.825242137602895e-14
0.9,5.925383157539377,0.9,1.5058699513907035e-8,5.428397404799056e-14
1.0,2.0,0.0,1.0,0.5
